SEARCH KEYWORD,MODIFIED KEYWORD,QCR KEYWORD,ATTRIBUTE EXTRACTION FLAG,SOLR EXECUTION,SOLR STATUS,ALFA EXECUTION,ALFA STATUS,MARS EXECUTION,MARS STATUS,OMNIMARS EXECUTION,OMNIMARS STATUS,CHATGPT EXECUTION,CHATGPT STATUS,MERI EXECUTION,MERI STATUS,ENSEMBLE RUN,SOLR_INFO,ALFA_INFO,MARS_INFO,OMNIMARS_INFO,CHATGPT_INFO,MERI_INFO,ID 1,NAME 1,MCAT_ACCURACY_LEVEL 1,ID 2,NAME 2,MCAT_ACCURACY_LEVEL 2,ID 3,NAME 3,MCAT_ACCURACY_LEVEL 3,ID 4,NAME 4,MCAT_ACCURACY_LEVEL 4,ID 5,NAME 5,MCAT_ACCURACY_LEVEL 5
fabrication job work,fabrication job work,fabrication job work,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 151890   |   Sheet Metal Components Job Work   |   High ||  ],alfa-info: [ 28191   |   fabrication works   |   High || 151890   |   sheet metal components job work   |   High || 106434   |   industrial sheet metal fabrication   |   Medium ||  ],mars-info: [ 28191   |   fabrication works   |   Low || 151890   |   sheet metal components job work   |   Low || 10995   |   industrial fabrication   |   Low ||  ],[],[],[],28191,Fabrication Works,High,151890,Sheet Metal Components Job Work,Medium,106434,Industrial Sheet Metal Fabrication,Medium,10995,Industrial Fabrication,Medium,153031,Shed Fabrication Services,Low
reusable 3m 8210 mask,reusable 8210 mask,reusable 3m 8210 mask,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 204385   |   3M Safety Mask   |   High || 6220   |   Face Mask   |   High || 444613   |   Reusable Face Mask   |   Medium || 186459   |   N95 Mask   |   Medium || 184149   |   Venus N95 Mask   |   Medium ||  ],alfa-info: [ 186459   |   n95 mask   |   High || 204385   |   3m safety mask   |   Medium || 26683   |   disposable face mask   |   Medium ||  ],mars-info: [ 204385   |   3m safety mask   |   High || 186459   |   n95 mask   |   Low || 444613   |   reusable face mask   |   Low ||  ],[],[],[],204385,3M Safety Mask,High,186459,N95 Mask,High,6220,Face Mask,Medium,444613,Reusable Face Mask,Medium,26683,Disposable Face Mask,Medium
polycab cable,polycab cable,polycab cable,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 214690   |   Polycab Power Cable   |   High || 7251   |   Power Cable   |   High || 184778   |   Polycab Submersible Cable   |   Medium ||  ],alfa-info: [ 214690   |   polycab power cable   |   High || 184778   |   polycab submersible cable   |   High ||  ],mars-info: [ 184778   |   polycab submersible cable   |   High || 193867   |   polycab armoured cable   |   Low || 214690   |   polycab power cable   |   Low ||  ],[],[],[],214690,Polycab Power Cable,High,184778,Polycab Submersible Cable,Medium,7251,Power Cable,Medium,193867,Polycab Armoured Cable,Medium,452,Electric Cable,Low
pet flakes,pet flakes,pet flakes,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 50219   |   PET Bottle Flake   |   High || 50220   |   Recycled PET Flake   |   Medium || 141873   |   Hot Washed PET Flakes   |   Medium || 134143   |   Pet Bottle Scrap   |   Medium ||  ],alfa-info: [ 50219   |   pet bottle flake   |   High || 141873   |   hot washed pet flakes   |   Medium ||  ],mars-info: [ 141873   |   hot washed pet flakes   |   High || 50219   |   pet bottle flake   |   Low || 126211   |   pet granules   |   Low ||  ],[],[],[],50219,PET Bottle Flake,High,141873,Hot Washed PET Flakes,Medium,50220,Recycled PET Flake,Medium,126211,PET Granules,Medium,134143,Pet Bottle Scrap,Medium
laser cutting job work,laser cutting job work,laser cutting job work,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 176079   |   Leather Laser Cutting Job Work   |   High || 2351   |   Laser Cutting Services   |   Medium || 121184   |   Laser Job Work Services   |   Medium ||  ],alfa-info: [ 176079   |   leather laser cutting job work   |   High || 2351   |   laser cutting services   |   High || 121184   |   laser job work services   |   High ||  ],mars-info: [ 176079   |   leather laser cutting job work   |   High || 2351   |   laser cutting services   |   Low || 121184   |   laser job work services   |   Low ||  ],[],[],[],176079,Leather Laser Cutting Job Work,High,2351,Laser Cutting Services,Medium,121184,Laser Job Work Services,Medium,135909,CNC Laser Cutting Services,Low,168444,MS Laser Cutting Services,Low
commercial electrical contractors,commercial electrical contractors,commercial electrical contractors,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 100523   |   Commercial Electrical Works   |   High || 27593   |   Electrical Contractor   |   Medium || 27623   |   Electrical Work   |   Medium || 100524   |   Residential Electrical Works   |   Medium ||  ],alfa-info: [ 27593   |   electrical contractor   |   High || 100523   |   commercial electrical works   |   High ||  ],mars-info: [ 27593   |   electrical contractor   |   Medium || 100523   |   commercial electrical works   |   Low || 170076   |   commercial building contractors   |   Low ||  ],[],[],[],100523,Commercial Electrical Works,High,27593,Electrical Contractor,High,27623,Electrical Work,Medium,170076,Commercial Building Contractors,Medium,100524,Residential Electrical Works,Medium
surgical,surgical,surgical,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 39277   |   Surgical Supplies   |   High || 9947   |   Medical Supplies   |   Medium ||  ],alfa-info: [ 68976   |   surgical instruments   |   High || 143866   |   cautery machine   |   Medium || 1150   |   surgical scissors   |   Medium || 2837   |   surgical equipments   |   Medium ||  ],mars-info: [ 68976   |   surgical instruments   |   Low || 2837   |   surgical equipments   |   Low || 39277   |   surgical supplies   |   Low ||  ],[],[],[],68976,Surgical Instruments,High,39277,Surgical Supplies,Medium,2837,Surgical Equipments,Medium,9947,Medical Supplies,Medium,143866,Cautery Machine,Medium
black oxygen gas cylinder,black oxygen gas cylinder,black oxygen gas cylinder,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 224145   |   Medical Oxygen Cylinder   |   High || 56254   |   Oxygen Cylinder   |   Medium || 136956   |   Empty Oxygen Cylinder   |   Medium || 148810   |   Industrial Oxygen Cylinder   |   Medium ||  ],alfa-info: [ 56254   |   oxygen cylinder   |   High || 148810   |   industrial oxygen cylinder   |   Medium || 224145   |   medical oxygen cylinder   |   Medium ||  ],mars-info: [ 56254   |   oxygen cylinder   |   High || 136956   |   empty oxygen cylinder   |   Low || 224145   |   medical oxygen cylinder   |   Low ||  ],[],[],[],56254,Oxygen Cylinder,High,224145,Medical Oxygen Cylinder,Medium,136956,Empty Oxygen Cylinder,Medium,148810,Industrial Oxygen Cylinder,Medium,186743,Portable Oxygen Cylinder Kit,Low
women designer saree,women designer saree,women designer saree,0,true,timeout,true,success,true,success,false,false,false,false,false,false,True,solr-info: [  ],alfa-info: [ 12972   |   designer sarees   |   High || 6242   |   fancy sarees   |   Medium ||  ],mars-info: [ 12972   |   designer sarees   |   High || 10950   |   indian sarees   |   Low || 209050   |   designer silk saree   |   Low ||  ],[],[],[],12972,Designer Sarees,High,6242,Fancy Sarees,Medium,10950,Indian Sarees,Medium,209050,Designer Silk Saree,Medium,12002,Georgette Sarees,Low
wooden king size bed,wooden king size bed,wooden king size bed,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 654317   |   Wooden King Size Bed   |   High || 19390   |   Wooden Bed   |   High || 95265   |   King Size Bed   |   High ||  ],alfa-info: [ 654317   |   wooden king size bed   |   High ||  ],mars-info: [ 154081   |   wooden double bed   |   Low || 208396   |   queen size bed   |   Low || 182798   |   wooden designer bed   |   Low ||  ],[],[],[],654317,Wooden King Size Bed,High,154081,Wooden Double Bed,High,19390,Wooden Bed,Medium,208396,Queen Size Bed,Medium,95265,King Size Bed,Medium
fully automatic domestic flour mill,fully automatic domestic flour mill,fully automatic domestic flour mill,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 176585   |   Automatic Atta Chakki   |   High || 187125   |   Ghar Ghanti Atta Chakki   |   High || 149041   |   Domestic Atta Chakki   |   Medium ||  ],alfa-info: [ 176585   |   automatic atta chakki   |   High || 149041   |   domestic atta chakki   |   Medium ||  ],mars-info: [ 149041   |   domestic atta chakki   |   High || 187125   |   ghar ghanti atta chakki   |   Low || 445822   |   natraj atta chakki   |   Low ||  ],[],[],[],176585,Automatic Atta Chakki,High,149041,Domestic Atta Chakki,Medium,187125,Ghar Ghanti Atta Chakki,Medium,445822,Natraj Atta Chakki,Medium,6472,Commercial Atta Chakki Machine,Low
pain relief gel,pain relief gel,pain relief gel,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 186406   |   Pain Reliever Gel   |   High || 192674   |   Diclofenac Diethylamine Gel   |   Medium || 193160   |   Diclofenac Gel   |   Medium || 182418   |   Volini Gel   |   Medium || 445838   |   Combiflam Gel   |   Medium || 185852   |   Moov Cream   |   Medium ||  ],alfa-info: [ 186406   |   pain reliever gel   |   High ||  ],mars-info: [ 186406   |   pain reliever gel   |   Medium || 445840   |   omnigel   |   Low || 445841   |   elements no vedana gel   |   Low ||  ],[],[],[],186406,Pain Reliever Gel,High,192674,Diclofenac Diethylamine Gel,High,445840,Omnigel,Medium,193160,Diclofenac Gel,Medium,445841,Elements No Vedana Gel,Medium
rava,rava,rava,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 225816   |   Millet Rava   |   High || 218540   |   Organic Rava   |   High || 445438   |   Jowar Rava   |   High || 655136   |   Kesari Rava   |   High || 217734   |   Maize Sooji   |   Medium ||  ],alfa-info: [ 218540   |   organic rava   |   Medium || 6247   |   farina   |   Medium || 225816   |   millet rava   |   Medium ||  ],mars-info: [ 218540   |   organic rava   |   Low || 6247   |   farina   |   Low || 138237   |   semolina   |   Low ||  ],[],[],[],218540,Organic Rava,High,225816,Millet Rava,Medium,6247,Farina,Medium,445438,Jowar Rava,Medium,138237,Semolina,Medium
frozen fish,frozen fish,frozen fish,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 139910   |   Frozen Fishes   |   High || 1116   |   Seafood   |   Medium || 6607   |   Frozen Sea Foods   |   Medium ||  ],alfa-info: [ 139910   |   frozen fishes   |   High ||  ],mars-info: [ 139910   |   frozen fishes   |   High || 105863   |   fish   |   Low || 6607   |   frozen sea foods   |   Low ||  ],[],[],[],139910,Frozen Fishes,High,1116,Seafood,Medium,105863,Fish,Medium,6607,Frozen Sea Foods,Medium,183369,Rohu Fish,Low
personal security guard job,personal security guard job,personal security guard job,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 37943   |   Security Guards   |   High || 117765   |   Armed Security Guard   |   Medium ||  ],alfa-info: [ 174372   |   security guard jobs   |   High || 117898   |   personal security guard services   |   Medium ||  ],mars-info: [ 117898   |   personal security guard services   |   Low || 174372   |   security guard jobs   |   Low || 37943   |   security guards   |   Low ||  ],[],[],[],117898,Personal Security Guard Services,Medium,37943,Security Guards,Medium,117765,Armed Security Guard,Medium,169163,Bouncers Security Guards,Low,175481,24 Hours Security Guards,Low
bathroom wash basins,bathroom wash basins,bathroom wash basins,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 46   |   Wash Basins   |   High || 50257   |   Bathroom Basin   |   High || 34777   |   Pedestal Wash Basin   |   Medium || 50259   |   Ceramic Basin   |   Medium ||  ],alfa-info: [ 50257   |   bathroom basin   |   High || 46   |   wash basins   |   High ||  ],mars-info: [ 50257   |   bathroom basin   |   High || 46   |   wash basins   |   Low || 50259   |   ceramic basin   |   Low ||  ],[],[],[],46,Wash Basins,High,50257,Bathroom Basin,High,50259,Ceramic Basin,Medium,34777,Pedestal Wash Basin,Medium,2109,Bathroom Sanitary Ware,Low
power press job work,power press job work,power press job work,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 44053   |   Press Job Work   |   High || 151890   |   Sheet Metal Components Job Work   |   Medium ||  ],alfa-info: [ 44053   |   press job work   |   High ||  ],mars-info: [ 44053   |   press job work   |   High || 56225   |   machining job work   |   Low || 174339   |   gear cutting job work   |   Low ||  ],[],[],[],44053,Press Job Work,High,151890,Sheet Metal Components Job Work,Medium,56225,Machining Job Work,Medium,174339,Gear Cutting Job Work,Medium,28191,Fabrication Works,Low
polished vitrified tiles,polished vitrified tiles,polished vitrified tiles,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 651812   |   Polished Vitrified Tiles   |   High || 40822   |   Vitrified Tiles   |   High || 166604   |   Nano Tiles   |   High || 129202   |   Soluble Salt Polished Vitrified Tile   |   High || 166128   |   Vitrified Floor Tile   |   Medium ||  ],alfa-info: [ 651812   |   polished vitrified tiles   |   High ||  ],mars-info: [ 40822   |   vitrified tiles   |   Low || 18105   |   polished tile   |   Low || 65806   |   polished porcelain tile   |   Low ||  ],[],[],[],651812,Polished Vitrified Tiles,High,40822,Vitrified Tiles,Medium,18105,Polished Tile,Medium,166604,Nano Tiles,Medium,65806,Polished Porcelain Tile,Medium
ladies party wear silk saree,ladies party wear silk saree,ladies party wear silk saree,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 6242   |   Fancy Sarees   |   High || 12972   |   Designer Sarees   |   Medium || 10950   |   Indian Sarees   |   Medium ||  ],alfa-info: [ 6242   |   fancy sarees   |   High ||  ],mars-info: [ 6242   |   fancy sarees   |   High || 1594   |   silk sarees   |   Low || 217603   |   turkey silk saree   |   Low ||  ],[],[],[],6242,Fancy Sarees,High,12972,Designer Sarees,Medium,1594,Silk Sarees,Medium,10950,Indian Sarees,Medium,217603,Turkey Silk Saree,Medium
home made chocolates,homemade chocolates,homemade chocolates,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 179370   |   Homemade Chocolate   |   High || 44134   |   Handmade Chocolate   |   High || 105844   |   Chocolate   |   Medium ||  ],alfa-info: [ 179370   |   homemade chocolate   |   High ||  ],mars-info: [ 179370   |   homemade chocolate   |   High || 44134   |   handmade chocolate   |   Low || 179450   |   homemade chocolate truffles   |   Low ||  ],[],[],[],179370,Homemade Chocolate,High,44134,Handmade Chocolate,Medium,105844,Chocolate,Medium,179450,Homemade Chocolate Truffles,Medium,85907,Chocolate Box,Low
diwan cum bed,diwan cum bed,diwan cum bed,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 208869   |   Diwan Bed   |   High || 183010   |   Wooden Diwan   |   Medium ||  ],alfa-info: [ 208869   |   diwan bed   |   High ||  ],mars-info: [ 208869   |   diwan bed   |   Low || 37022   |   sofa bed   |   Low || 183010   |   wooden diwan   |   Low ||  ],[],[],[],208869,Diwan Bed,High,183010,Wooden Diwan,Medium,37022,Sofa Bed,Medium,154081,Wooden Double Bed,Low,183044,Wooden Cot Bed,Low
ladies manicure service,ladies manicure service,ladies manicure service,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 31713   |   Manicure Salons   |   High || 49933   |   Beauty Services   |   Medium ||  ],alfa-info: [ 31713   |   manicure salons   |   High || 49933   |   beauty services   |   Medium ||  ],mars-info: [ 31713   |   manicure salons   |   High || 182713   |   pedicure services   |   Low || 49933   |   beauty services   |   Low ||  ],[],[],[],31713,Manicure Salons,High,49933,Beauty Services,Medium,182713,Pedicure Services,Medium,87986,Salon Chair,Low,21909,Beauty Parlours,Low
co2 sports air revolver/pistol,co2 sports air revolver pistol,co2 sports air revolver/pistol,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 183257   |   Air Pistol   |   High || 21405   |   Sports Air Guns   |   Medium || 315637   |   CO2 Gun   |   Medium ||  ],alfa-info: [ 183257   |   air pistol   |   High ||  ],mars-info: [ 183257   |   air pistol   |   High || 315637   |   co2 gun   |   Low || 21405   |   sports air guns   |   Low ||  ],[],[],[],183257,Air Pistol,High,315637,CO2 Gun,Medium,21405,Sports Air Guns,Medium,20710,Toy Gun,Low,391,Corks,Low
ethnic cotton ladies nighties,ethnic cotton ladies nighties,ethnic cotton ladies nighties,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 157281   |   Cotton Nightgown   |   High || 220508   |   Ladies Designer Nighty   |   High || 68572   |   Ladies Night Dress   |   Medium || 7371   |   Nightgowns   |   Medium ||  ],alfa-info: [ 220508   |   ladies designer nighty   |   Medium || 157281   |   cotton nightgown   |   Medium ||  ],mars-info: [ 157281   |   cotton nightgown   |   High || 220508   |   ladies designer nighty   |   Low || 68572   |   ladies night dress   |   Low ||  ],[],[],[],157281,Cotton Nightgown,High,220508,Ladies Designer Nighty,Medium,68572,Ladies Night Dress,Medium,7371,Nightgowns,Medium,223231,Nighty Fabric,Low
cappuccino coffee machine,cappuccino coffee machine,cappuccino coffee machine,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 69576   |   Cappuccino Coffee Machine   |   High || 25141   |   Coffee Machine   |   High || 182458   |   Astoria Coffee Machine   |   Medium || 27983   |   Espresso Machine   |   Medium ||  ],alfa-info: [ 69576   |   cappuccino coffee machine   |   High ||  ],mars-info: [ 69576   |   cappuccino coffee machine   |   High ||  ],[],[],[],69576,Cappuccino Coffee Machine,High,25141,Coffee Machine,Medium,182458,Astoria Coffee Machine,Medium,27983,Espresso Machine,Medium,182035,Tea Coffee Vending Machine,Low
custom clearance service,custom clearance service,custom clearance service,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 78470   |   Custom Clearing Service   |   High || 168831   |   Custom Clearance Documentation Services   |   High || 170363   |   Destination Customs Clearance Services   |   High || 127511   |   Import Clearance Services   |   Medium ||  ],alfa-info: [ 78470   |   custom clearing service   |   High || 168831   |   custom clearance documentation services   |   High || 170363   |   destination customs clearance services   |   Medium ||  ],mars-info: [ 78470   |   custom clearing service   |   High || 168831   |   custom clearance documentation services   |   Low || 127511   |   import clearance services   |   Low ||  ],[],[],[],78470,Custom Clearing Service,High,168831,Custom Clearance Documentation Services,High,170363,Destination Customs Clearance Services,Medium,127511,Import Clearance Services,Medium,127492,Export Clearance,Low
