title,category,spec,price
"Mild Steel 25 Mm Rebar Coupler, For Construction",Rebar Coupler,"Length==60 mm,Country of Origin==Made in India,Diameter==25 mm,Material==Mild Steel,Usage/Application==Construction",55
"Mild Steel Rebar Coupler, For Construction",Rebar Coupler,"Length==60 mm,Diameter==25 mm,Surface Type==Hot Dipped Galvanized,Color==Black,Deals in==Maharashtra,Country of Origin==Made in India,Material==Mild Steel,Usage/Application==Construction,Coupler Type==Rebar",90
"Black HDPE Double Layer Water Tank, Capacity: 300-2500 L","Water Storage Tanks,Plastic Water Tank","Brand==Kaveri,Capacity==300-2500 L,Layer Type==Double Layer,Height==32.1-70.5 inches,Manhole Diameter==11-18.9 inches,Color==Black,Material==HDPE",
"40mm Mild Steel Rebar Coupler, For Construction","Rebar Coupler,Mild Steel Coupler","Diameter==16 mm,Grade==En8D,Shape==Round,Length==40 mm,Material==Mild Steel,Usage/Application==Construction",130
"Mild Steel 32mm Rebar Coupler, For Construction",Rebar Coupler,"Length==60 mm,Country of Origin==Made in India,Diameter==32 mm,Material==Mild Steel,Usage/Application==Construction",90
HDPE Black Water Storage Tank,"Water Storage Tanks,Hdpe Tank","Storage Capacity==5000 Litre,Layer Type==Single Layer,Height==26.4-93.1 inches,Body Material==HDPE,Color==Black",
Open Well Submersible Pump 5 HP KSB Horizontal,"Open Well Submersible Pump,Horizontal Open Well Pump,KSB Submersible Pumps",,29000
"Yellow 14 mm PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Yellow,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Packaging Type==Bundle,Size==14 mm",120
Statue FDM 3D Prototype Printing Service,3D Prototype Printing Services,"Payment Mode==Online & Offline,Service Duration==4-8 Days,Service Location==All India,Service Mode==Onsite,Service Type==Statue FDM 3D Printing Service",7
Open Well Submersible Pump 2 Hp 1 Ph KSB,"Open Well Submersible Pump,KSB Submersible Pumps",,16546
Horizontal OPENWELL SUBMERSIBLE 1 HP 1 PH RAMESH,Open Well Submersible Pump,"Motor Phase==Single Phase,Country of Origin==Made in India,Power==1 hp,Type==Horizontal",13515
"Horizontal Open well submersible 2hp KOSI 225 1 PHASE, Discharge Outlet Size: 50x40 MM, Capacity: 10","Open Well Submersible Pump,Horizontal Submersible Pump","Power==2 hp,Motor Horsepower==1.5,Motor Phase/Stage==Single Phase,Motor Power==1.5,Motor Phase==Single Phase,Capacity==10,Type==Horizontal,Discharge Outlet Size==50X40 MM,Country of Origin==Made in India",19222
Plastic Red Soft Tubular Packaging Net,"Packaging Net,Net Bags,Plastic Net","Usage/ Application==Fruit Packaging,Size (in Inches)==Customized,Storage Capacity==5 Kg,Material==HDPE,Color==Red,Country of Origin==Made in India",
"Yellow 18 mm PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Yellow,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Packaging Type==Bundle,Size==18 mm",120
26 Ltr SAE APIG4 Gulfoline Universal Tractor Transmission Oil,Transmission Oil,"Packaging Size==Can Of 1 Ltr,Grade==A,Brand==Gulfoline,Usage/Application==Smooth Gear Shifting And Robust Protection,Model Name/Number==SAE APIG4,Form==Liquid,Color==Golden,Pack Type==Bottle",200
Alkon CRCA Steel Doors For Panda Shelving Systems,"Bin Racks,Alkon Shelf Unit,Alkon Racks & Stands","Usage/Application==Office\,Industry\,Pharmacy & more,Material==CRCA Steel,Brand==Alkon,Height==1875mm,Finish==Powder Coating,Features==Doors Lockable,Product Code==ASUD 1875,Colour==Light Grey",27000
Sleek Body Air Curtain,Air Curtain,"Usage/Application==Commercial,Mounting==Wall Mount,Color==white",13000
"CE FLP flame proof Aircurtain, For Industrial Usage, Door Size: 6 ft",Air Curtain,"Noise Level==50 dB,Certification==CE,Door Size==6 ft,Usage/Application==Industrial Usage,Air Velocity==20 m/s",22000
"CE Wall Mount Industrial Air Curtain, Door Size: 4.5 Feet",Air Curtain,"Noise Level==75 dB,Door Size==4.5 Feet,Usage/Application==Industrial Usage,Air Velocity==22m/s,Certification==CE,Mounting==Wall Mount,Color==White,Motor Power==0.5 HP,Voltage==220V,Model Name/Number==EHV 13,Frequency==50 Hz,Brand==Akash,Feature==With Limit Switch",11000
"CE Stainless Steel Air Curtains, For Industrial Usage",Air Curtain,"Certification==CE,Usage/Application==Industrial Usage",15000
Endless PU Oil Skimmer Belt,"Oil Skimmers,Belt Oil Skimmer","Width of Belt==>90 mm,Type Of Machine==Belt Type,Capacity==As Per Requirments,Shape==Endless,Material==PU,Type==Belt Type,Color==White,Usage/Application==Remove Oil From Surface.,Brand==Sunshine Technomech,Ambient Temperature==60-70 Degree",20000
"50mm Mild Steel Rebar Coupler, For Construction","Rebar Coupler,Mild Steel Coupler","Diameter==20 mm,Grade==En8D,Shape==Round,Length==50 mm,Material==Mild Steel,Usage/Application==Construction",25
"Mild Steel 20mm Rebar Coupler, For Construction",Rebar Coupler,"Length==50 mm,Diameter==32 mm,Country of Origin==Made in India,Material==Mild Steel,Usage/Application==Construction",35
"Mild Steel 16mm Rebar Coupler, For Construction",Rebar Coupler,"Length==40 mm,Country of Origin==Made in India,Diameter==25 mm,Material==Mild Steel,Usage/Application==Construction",20
"CE Air Curtain, For Industrial Usage, Door Size: upto 10ft",Air Curtain,"Noise Level==70dB,Air Velocity==>20-22 m/s,Mounting==Wall Mount,Color==Ivory,Voltage==220 V,Model Name/Number==EHV,Frequency==50 Hz,Number Of Motors==1,Number Of Blowers==2,Phase==Single,Brand==Akash,Certification==CE,Door Size==upto 10ft,Usage/Application==Industrial Usage",11000
"UV PVC Marble Sheet, 2 mm",PVC Marble Sheet,"Size==8x4 Feet,Pattern==Printed,Surface Finish==Matte,Thickness==2 mm,Material==PVC",3450
"Round Mild Steel Disk Type Oil Skimmer, Capacity: 0-10Lph",Oil Skimmers,"Type Of Machine==Disk Type Oil Skimmer,Shape==Round,Material==Mild Steel,Type==Disk,Capacity==0-10Lph,Usage/Application==Oil Removing,Oil Recycle Rate==10 (l/hr),Diameter==500mm",18000
Industrial Air Curtain,Air Curtain,"Usage/Application==Industrial Usage,Mounting==Wall Mount,Color==Ivory,Motor Power==0.5 HP,Frequency==50 Hz,Brand==Akash,Warranty==1 Year,Certification==CE",12000
"CE Industrial Air Curtain, Door Size: 4 ft",Air Curtain,"Noise Level==55 dB,Certification==CE,Door Size==4 ft,Usage/Application==Industrial Usage,Air Velocity==15 m/s,Curtain Type==Air curtain,Mounting==Wall Mount,Color==Ivory,Dimensions==3ft/4ft/5ft/6ft,Motor Power==1440 rpm Crompton Greaves,Air Flow==15 mtrs/sec to 24 mtrs/ sec,Blower Material==Stainless steel,Weight==25kg approx,Voltage==220 V,Model Name/Number==EHV 15,Frequency==50 Hz,Air Speed==15 mtrs/sec to 24 mtrs/ sec,Number Of Motors==1,Number Of Blowers==2,Tensile Strength==NA,Electrical Supply==220v\,50hz,Phase==Single phase,I Deal In==New Only,Brand==Akash,Warranty==1 Year,Country of Origin==Made in India",14000
1000 L Blue Three Layer Water Storage Tank,"Triple Layered Water Tanks,PVC Water Storage Tank","Storage Capacity==1000 L,Material==PVC,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Blue,Diameter==40 inch,Height==53 inch,Tank Shape==Cylindrical,Lid==18 inch,Brand==Accu Tank,Country of Origin==Made in India",5500
HDPE Black Cylindrical Water Tanks,"Triple Layered Water Tanks,Kaveri Water Tanks,Water Storage Tanks","Layer Type==Triple Layer,Body Material==HDPE,Color==Black,Height==32.1-70.5 inches,Manhole Diameter==11-18.9 inches",
"Three Phase Openwell Submersible Pump, Electric","Open Well Submersible Pump,Open Well Pump,Open Well Submersible Monoblock Pump","Type==Horizontal,Brand==Texmo,Motor Phase==Three Phase,Voltage==220V,Frequency==50Hz",3500
600 L Platinum Loft Tank,Loft Tank,"Layer==2,Material==PE,Usage/Application==Water Storage,Color==White,Brand==Platinum,Dimension==60x36x18 inch,Capacity Type==600 L,Country of Origin==Made in India",3600
5000 L Orange Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==5000 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Orange,Diameter==73 inch,Height==81 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",30000
3000 L Blue Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==3000 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Blue,Diameter==60 inch,Height==75 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",18000
10000 L Blue Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Blue,Tank Shape==Cylindrical,Certification==ISO,Tank Capacity==10000 L,Brand==Platinum,Country of Origin==Made in India",6000
Mild Steel Tube Type Oil Skimmer,Oil Skimmers,"Type Of Machine==Tube Type Oil Skimmer,Material==Mild Steel,Type==Tube type,Usage/Application==Oil Removing,Oil Recycle Rate==10 (l/hr),Oil Recycle Rate==50 (l/hr)",30000
750 L Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==750 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==White,Diameter==39 inch,Height==45 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",4495
5000 L Blue Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==5000 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Blue,Diameter==73 inch,Height==81 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",30000
1000 L Yellow Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==1000 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Yellow,Diameter==40 inch,Height==53 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",6000
500 L Orange Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==500 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Orange,Diameter==34 inch,Height==41 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",2500
1500 L Blue Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==1500 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Blue,Diameter==49 inch,Height==57 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",9000
"Blue FOAM BASE Supreme Dura Floor Protection Sheet, Size: FROM LARGE ROLL WE GIVE CUT SIZE TOO",Floor Protection Sheet,"Thickness==2 mm,Tensile Strength==25k.g.s qubic meter,Mat Size==1.3MTRS WIDTH AND LENGTH ACCORDING TO THICKNESS,Country of Origin==Made in India,Material==FOAM BASE,Color==Blue,Size==FROM LARGE ROLL WE GIVE CUT SIZE TOO,Usage/Application==Floor protection",4
2000 L Double Layer Water Tank,"Water Storage Tanks,Hdpe Tank,Plastic Water Tank","Storage Capacity==2000 L,Material==HDPE,Brand==Platinum,Usage/Application==Water Storage,Layer==2,Color==Black,Shape==Cylindrical,Diameter==53 inch,Height==63 inch,Certification==ISO,Orientation==Vertical,Lid==18 inch,Country of Origin==Made in India",10000
2000 L White Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==2000 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==White,Diameter==54 inch,Height==63 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",12000
1000 L Black PVC Water Storage Tank,"Water Storage Tanks,PVC Water Storage Tank","Storage Capacity==1000 L,Material==PVC,Layer Type==Double Layer,Tank Orientation==Vertical,Color==Black,Diameter==40 inch,Height==53 inch,Certification==ISO,Tank Shape==Cylindrical,Lid==18 inch,Brand==Accu,Country of Origin==Made in India",4500
Platinum 5000 L Green Triple Layer Water Storage Tank,"Water Storage Tanks,Hdpe Tank,Triple Layered Water Tanks","Storage Capacity==5000 L,Material==HDPE,Layer Type==Triple Layer,Brand==Platinum,Tank Orientation==Vertical,Color==Green,Diameter==73 inch,Height==81 inch,Lid==18 inch,Certification==ISO,Tank Shape==Cylindrical,Country of Origin==Made in India",30000
5000 L Double Layer Water Tank,"Water Storage Tanks,Hdpe Tank","Storage Capacity==5000 L,Material==HDPE,Layer==2,Color==Black,Shape==Cylindrical,Diameter==72 inch,Height==78 inch,Certification==ISO,Lid==21 inch,Brand==Platinum,Orientation==Vertical,Country of Origin==Made in India",25000
"5 Layer Horizontal Water Storage Tank, 1000 L","Water Storage Tanks,Hdpe Tank","Storage Capacity==1000 L,Material==HDPE,Brand==Platinum,Usage/Application==Water Storage,Layer==5,Color==White,Dimension==42x42x63 inch,Tank Orientation==Horizontal,Country of Origin==Made in India",11000
5000 L ISI Marked Water Storage Tank,"Water Storage Tanks,Triple Layered Water Tanks","Storage Capacity==5000 L,Material==HDPE,Layer==3,Usage/Application==Water Storage,Color==Black,Shape==Cylindrical,Diameter==1825 inch,Wall Thickness==10.9 inch,Weight==185 kg,Height==1950 inch,Certification==ISI,Lid==485 inch,Brand==Platinum,Orientation==Vertical,Country of Origin==Made in India",37500
1000 L Four Layer Water Storage Tank,"Water Storage Tanks,Hdpe Tank","Storage Capacity==1000 L,Material==HDPE,Layer==4,Usage/Application==Water Storage,Color==White,Shape==Cylindrical,Diameter==41 inch,Height==52 inch,Certification==ISO,Lid==18 inch,Tank Orientation==Vertical,Brand==Platinum,Country of Origin==Made in India",6500
1500 L Platinum Loft Tank,Loft Tank,"Size==72x48x29 inch,Layer==2,Material==PE,Usage/Application==Water Storage,Color==White,Hole Diameter==500mm,Country of Origin==Made in India,Storage Capacity==1500 L,Brand==Platinum",9750
1500 L Double Layer Water Tank,"Water Storage Tanks,Hdpe Tank,Plastic Water Tank","Storage Capacity==1500 L,Material==HDPE,Layer==2,Usage/Application==Water Storage,Color==Black,Shape==Cylindrical,Diameter==48 inch,Height==58 inch,Certification==ISI,Lid==18 inch,Orientation==Vertical,Brand==Platinum,Country of Origin==Made in India",11250
Apple Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Hdpe Tank","Material==HDPE,Usage/Application==Water Storage,Shape==Cylindrical,Layer==3,Color==Blue,Tank Orientation==Vertical,Size/Dimension==54x63x18 inch,Tank Capacity==1000 L,Brand==Apple,Country of Origin==Made in India",3500
2000 L Four Layer Water Storage Tank,"Water Storage Tanks,Hdpe Tank","Storage Capacity==2000 L,Material==HDPE,Layer==4,Usage/Application==Water Storage,Color==White,Shape==Cylindrical,Diameter==53 inch,Height==63 inch,Certification==ISO,Lid==18 inch,Tank Orientation==Vertical,Brand==Platinum,Country of Origin==Made in India",13000
"ANCHOR Steel / Stainless Steel Insulated Sandwich Puf Panel, For Cold Storage, 30-150MM","PUF Insulated Roofing Panel,PUF Sandwich Panel","Thickness==30-150MM,Usage/Application==Cold Storage,Brand==ANCHOR,Color==White,Surface Treatment==Film Coated,Surface Treatment==Galvanised,Surface Treatment==Coated,Surface Treatment==Color Coated,Features==Water Proof,Features==Corrosion Resistant,Features==Durable Coating,Features==Portable,Sheet Thickness==0.5,Size==1200,Material==Steel / Stainless Steel,Application==Construction Sites,Cabin Height==8-10 Feet,Built Type==Modular",800
3000 L Yellow Triple Layer Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks,Hdpe Tank","Material==HDPE,Storage Capacity==3000 L,Layer Type==Triple Layer,Tank Orientation==Vertical,Color==Yellow,Diameter==60 inch,Height==75 inch,Tank Shape==Cylindrical,Certification==ISO,Lid==18 inch,Brand==Platinum,Country of Origin==Made in India",18000
10000 L Platinum Double Layer Water Tank,"Triple Layered Water Tanks,PVC Water Storage Tank,Hdpe Tank","Layer==2,Material==HDPE,Usage/Application==Water Storage,Color==Black,Shape==Cylindrical,Diameter==84 inch,Height==120 inch,Lid==21 inch,Orientation==Vertical,Country of Origin==Made in India,Brand==Platinum,Tank Capacity==10000 L",55000
Rectangular Black Bubble Floor Protection Sheet,Floor Protection Sheet,"Thickness==2mm,Pattern==Bubbel,Material==Polypropylene,Shape==Rectangular,Color==Black,Usage/Application==Floor protection",3
IPH Make 43 CC Pump Assy,PTO Pump,"Usage/Application==To Transfer The Fuel From The Fuel Tank To The Device Where It Is Mixed With The Intake Air,Automation Grade==Automatic,Color==Black (Base),Warranty==6 Months",10200
White Polypropylene Flute Tile Protection Sheet For Mumbai & New Mumbai,Floor Protection Sheet,"Thickness==2 mm,Pattern==Corrugated,Length==6 ft,Size==Large,Usage/Application==Floor Protection,GSM==250-300,Packaging Type==Packet,Tensile Strength==horizontal bend is tuff,Country of Origin==Made in India,Material==Polypropylene,Color==White",3.5
"5 m 40 HP IPH Make TATA ACE 4 speed PTO Pump Assy, Tractor, Model Name/Number: NTR/08",PTO Pump,"Motor Horsepower==<10 HP,Flow Rate==20 LPM,Max Flow Rate==10-20 LPS,Motor Speed==1000 RPM,Vehicle Type==Truck,Country of Origin==Made in India,Mounting Type==Tractor,Model Name/Number==NTR/08,Power Source==40 HP,Head==5 m",
IPH Make PTO Pump Assy,PTO Pump,"Automation Grade==Automatic,Pressure==>100 Bar,Flow Rate==>70 LPM,Speed==600 RPM,Usage/Application==Hydraulic pumps are versatile devices used across industries for converting mechanical power into hydraulic power.,Vehicle Type==Truck,Country of Origin==Made in India",21300
"500 Litre Varni Plastic Water Tank, 500-1000 L","Water Storage Tanks,Triple Layered Water Tanks,Plastic Water Tank","Material==LDPE,Storage Capacity==500 L,Layer Type==Triple Layer,Brand==Varni,Color==White,Shape==Round,Water Capacity==500 Litre",
White 3000 Litre Varni Water Tank,Water Storage Tanks,"Material==Plastic,Layer==5,Usage/Application==Water Storage,Color==White,Shape==Round,Brand==Varni,Water Capacity==3000 Litre",
5000 Litre Varni Water Storage Tanks,"Water Storage Tanks,Plastic Water Tank","Material==Plastic,Layer==7,Usage/Application==Water Storage,Color==Beige,Shape==Round,Water Capacity==5000 Litre",
Polymer Floor Protection For Mumbai & New Mumbai,Floor Protection Sheet,"Thickness==2 mm,Pattern==Plain,Length==6 ft,Size==Large,Tensile Strength==95 kgs -- (+/-15%) -- Kg/m3,Brand==Supreme,Mat Size==1 meter X 2 meter,Weathering Test==No Disintegration,Compression Deflection==94% Kg/cm2,Density==90+/-15% Kg/m3,Water Absorption==0.080 max Kg/m2 of Cut Surface,Alkali Resistance==No Effect,Country of Origin==Made in India,Usage/Application==Floor Protection",5
"40 HP IPH Make PTO Pump foeTATA ACE 5 speed, B Mounting, Model Name/Number: NTR/08",PTO Pump,"Motor Horsepower==<10 HP,Flow Rate==10 LPM,Head==5 m,Max Flow Rate==10-20 LPS,Vehicle Type==Truck,Country of Origin==Made in India,Mounting Type==B Mounting,Model Name/Number==NTR/08,Power Source==40 HP",
White 500 Litre Varni Water Tank,"Water Storage Tanks,Plastic Water Tank","Material==Plastic,Layer Type==5 Layer,Usage/Application==Water Storage,Color==White,Brand==Varni,Shape==Round,Water Capacity==500 Litre",
Varni 5000 Litre 4 Layer PVC Watertank,"Water Storage Tanks,PVC Water Storage Tank","Usage/Application==Home,Color==White,Country of Origin==Made in India,Storage Capacity==5000 L,Material==LLDPE",
"Dlp Technology 3D Jewellery Cad and Cam, For Manufacturing","Jewellery CAD CAM Services,CAD CAM Services,DLP 3D Printer","Service Location==all india,Usage/Application==Manufacturing,Type Of Technology==dlp Technology,Suitable For==jewellery industry",
"Mild Steel GENMAC PUSH FOOD CART, Load Capacity: 300 kg",Food Cart,"Load Capacity==300 kg,Material==Mild Steel",67500
Multi Stage Pump Borewell Submersible Pumps,"Borewell Submersible Pump,Borewell Pumps,V3 Submersible Pump","Power==3 HP,Discharge Range==500-1000 LPM,Number Of Stages==Multi Stage Pump,Size==4 Inch,Type==Borewell,Motor Phase==Three Phase",
Supreme Floor Protection Sheet,"Floor Protection Sheet,Bubble Guard Sheet","Thickness==2 mm,Length==6 ft,Size==6 x 3 ft",4
"V Series Submersible Pumps, Power: 5 HP","Borewell Submersible Pump,V3 Submersible Pump","Power==5 HP,Discharge Range==500-1000 LPM,Type==Borewell,Motor Phase==Three Phase,Maximum Discharge Flow==501-1000 LPM,Power Source==Pump Only,I Deal In==New Only,Country of Origin==Made in India",
Borewell Submersible Pump,"Borewell Submersible Pump,Borewell Pumps,V3 Submersible Pump","Power==3 HP,Discharge Range==200-500 LPM,Number Of Stages==Multi Stage Pump,Type==Borewell,Motor Phase==Three Phase,Power Source==Pump Only",
White 700 Litre Varni Water Tank,"Water Storage Tanks,Plastic Water Tank","Material==Plastic,Layer Type==Double Layer,Usage/Application==Water Storage,Color==White,Shape==Round,Water Capacity==700 Litre",
"Yellow 24 mm PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Yellow,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Packaging Type==Bundle,Size==24 mm",120
"Yellow 22 mm PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Yellow,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Packaging Type==Bundle,Size==22 mm",120
"Yellow 12 mm PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Yellow,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Packaging Type==Bundle,Size==12 mm",120
"14 mm Blue PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Blue,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Rope Shape==Round,Packaging Type==Bundle,Size==14 mm",120
"22 mm Blue PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Blue,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Rope Shape==Round,Packaging Type==Bundle,Size==22 mm",115
"Single Phase Horizontal Open well Submersible PUMP 1 Hp KOSI 135, Discharge Outlet Size: 25 MM",Open Well Submersible Pump,"Motor Horsepower==1 HP,Motor Phase==Single Phase,Type==Horizontal,Discharge Outlet Size==25 MM",11111
"20 mm Blue PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Blue,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Rope Shape==Round,Packaging Type==Bundle,Size==20 mm",120
"Yellow 20 mm PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Yellow,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Packaging Type==Bundle,Size==20 mm",120
16mm Blue Polypropylene Rope,Polypropylene Rope,"Length==220 m,Color==Blue,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Rope Shape==Round,Packaging Type==Bundle,Size==16 mm",125
Openwell Submersible 3 Hp TEXMO TARO TSM 30 ZRC 50 MM DELIVERY,Open Well Submersible Pump,,26500
Open well Submersible Pump 5 HP KSB,"Open Well Submersible Pump,KSB Submersible Pumps",,20270
Horizontal Openwell Submersible 5 hp JOS 540,"Open Well Submersible Pump,Horizontal Submersible Pump",,32570
Three Phase Horizontal Open well Submersible 10 HP Kos 1050,"Open Well Submersible Pump,Horizontal Submersible Pump","Power==10 hp,Motor Horsepower==10 HP,Motor Phase/Stage==Three Phase,Motor Power==10 HP,Motor Phase==Three Phase,Capacity==10,Type==Horizontal,Discharge Outlet Size==100 / 80 / 65/ 50 MM,Country of Origin==Made in India",
Openwell Submersible Pump 5 Hp Ekki Horizontal For Mine,"Open Well Submersible Pump,Horizontal Open Well Pump,Deccan Submersible Pumps","Motor Phase==Three Phase,Country of Origin==Made in India",33000
Power: 2 hp SINGLE PHASE OPENWELL UBMERSBLE,Open Well Submersible Pump,Power==2 hp,17500
"Single Phase Horizontal KOSI 1.540 Open Well Submersible 1 Ph, Discharge Outlet Size: 32X25, Capacity: 10","Open Well Submersible Pump,Horizontal Submersible Pump","Power==1.5 hp,Motor Horsepower==1.5,Motor Phase/Stage==Single Phase,Motor Power==1.5,Motor Phase==Single Phase,Capacity==10,Type==Horizontal,Discharge Outlet Size==32X25,Country of Origin==Made in India",23460
"Three Phase Open well Submersible pump KOS 1.5 HP 3 PH HORIZONTAL, Discharge Outlet Size: 50X40, Capacity: 10","Open Well Submersible Pump,Horizontal Open Well Pump,Horizontal Submersible Pump","Power==1.5 hp,Motor Horsepower==1.5,Motor Phase/Stage==Three Phase,Motor Power==1.5 HP,Motor Phase==Three Phase,Capacity==10,Type==Horizontal,Discharge Outlet Size==32X25,Country of Origin==Made in India",21000
