name,type,country,city,address,lat,lon,beds,departments,ownership,icu
Patna City Infirmary,teaching hospital,India,Patna,"901 Church St, Patna, India",25.576288,85.101016,400,oncology || ophthalmology || physiotherapy || psychiatry || pulmonology,trust,False
Tiruchirappalli Care Hospital,general hospital,India,Tiruchirappalli,"900 Ring Rd, Tiruchirappalli, India",10.767581,78.66965,200,ent || gynecology || hematology || pediatrics || physiotherapy,private,True
Aurangabad Care Hospital,general hospital,India,Aurangabad,"930 Maple Ave, Aurangabad, India",19.818748,75.391652,50,dermatology || nephrology || pediatrics,public,False
Patna City Infirmary,specialty hospital,India,Patna,"438 Green Park Rd, Patna, India",25.672002,85.181159,75,emergency || gynecology || hematology,private,False
Lucknow Medical College & Hospital #5,general hospital,India,Lucknow,"921 Maple Ave, Lucknow, India",26.767584,80.996674,300,gastroenterology || gynecology || neurosurgery || orthopedics || urology,private,False
Rome Superspeciality Hospital,teaching hospital,Italy,Rome,"831 Lakeview Ave, Rome, Italy",41.939441,12.539803,50,cardiology || ent || gastroenterology || nephrology || pulmonology || radiology,trust,False
Bareilly Medical Center,general hospital,India,Bareilly,"482 Church St, Bareilly, India",28.344355,79.368939,500,neurosurgery || oncology || psychiatry || urology,public,True
Vadodara Medical Center,general hospital,India,Vadodara,"657 Hospital Rd, Vadodara, India",22.326928,73.154144,50,cardiology || dental || gynecology || hematology || psychiatry || radiology,public,False
Pune Medical College & Hospital,specialty hospital,India,Pune,"447 Hospital Rd, Pune, India",18.490157,73.828729,300,gastroenterology || orthopedics || pediatrics,public,True
Moradabad Superspeciality Hospital,general hospital,India,Moradabad,"681 Park Ave, Moradabad, India",28.860609,78.835254,150,ent || gynecology || oncology || orthopedics || physiotherapy || pulmonology || radiology,private,True
Mangaluru Medical College & Hospital,teaching hospital,India,Mangaluru,"631 High St, Mangaluru, India",12.853235,74.890119,300,cardiology || dental || ent || gynecology || oncology || orthopedics,private,True
Ranchi Multispeciality Hospital,general hospital,India,Ranchi,"813 Lakeview Ave, Ranchi, India",23.353904,85.352955,150,dermatology || emergency || ent || gastroenterology || gynecology || nephrology || oncology || radiology,private,True
Mumbai General Hospital,general hospital,India,Mumbai,"871 MG Road, Mumbai, India",19.079637,72.866107,25,dental || gastroenterology || gynecology || nephrology || ophthalmology || orthopedics,public,False
Shanghai Medical College & Hospital,specialty hospital,China,Shanghai,"713 Hospital Rd, Shanghai, China",31.167663,121.398729,250,dental || dermatology || emergency || ent || gynecology || neurosurgery,private,True
Rio de Janeiro Multispeciality Hospital,specialty hospital,Brazil,Rio de Janeiro,"517 NH 48, Rio de Janeiro, Brazil",-22.936503,-43.171529,750,gastroenterology || gynecology || hematology || ophthalmology || physiotherapy || psychiatry || pulmonology,private,True
Tokyo Care Hospital,specialty hospital,Japan,Tokyo,"241 Temple Rd, Tokyo, Japan",35.636087,139.635961,300,dental || emergency || ent || hematology || radiology,public,True
Manchester Medical College & Hospital,general hospital,United Kingdom,Manchester,"64 Sunrise Blvd, Manchester, United Kingdom",53.437408,-2.310283,100,cardiology || dental || gastroenterology || ophthalmology || physiotherapy || pulmonology,public,True
Beijing Superspeciality Hospital,general hospital,China,Beijing,"498 Oak St, Beijing, China",39.849995,116.476152,400,emergency || gastroenterology || ophthalmology || psychiatry || pulmonology || radiology,trust,True
Sao Paulo Medical Center,general hospital,Brazil,Sao Paulo,"473 Lakeview Ave, Sao Paulo, Brazil",-23.534455,-46.580166,400,gastroenterology || pediatrics || radiology,public,True
Singapore Medical College & Hospital,general hospital,Singapore,Singapore,"20 Green Park Rd, Singapore, Singapore",1.301951,103.882609,200,emergency || neurosurgery || urology,private,True
Berlin General Hospital,general hospital,Germany,Berlin,"485 Station Rd, Berlin, Germany",52.56919,13.468375,100,emergency || nephrology || oncology || orthopedics || pediatrics || psychiatry || urology,trust,False
Vancouver Medical Center,teaching hospital,Canada,Vancouver,"590 Sector 21 Rd, Vancouver, Canada",49.220308,-123.16423,150,emergency || gastroenterology || gynecology || neurosurgery || orthopedics || urology,public,False
Madrid Health Institute,specialty hospital,Spain,Madrid,"71 Hospital Rd, Madrid, Spain",40.467682,-3.646083,25,cardiology || dermatology || nephrology || ophthalmology || orthopedics || physiotherapy || pulmonology || radiology,trust,False
Kanpur Care Hospital,teaching hospital,India,Kanpur,"794 College Rd, Kanpur, India",26.45162,80.318686,75,dermatology || nephrology || neurosurgery || pediatrics || physiotherapy || radiology,public,True
Rio de Janeiro Health Institute #6,teaching hospital,Brazil,Rio de Janeiro,"187 College Rd, Rio de Janeiro, Brazil",-22.967622,-43.198882,750,dental || pediatrics || radiology || urology,trust,True
Delhi Superspeciality Hospital #7,specialty hospital,India,Delhi,"501 Green Park Rd, Delhi, India",28.585612,77.212006,300,cardiology || ophthalmology || physiotherapy || psychiatry,public,True
Brisbane Health Institute,general hospital,Australia,Brisbane,"436 Green Park Rd, Brisbane, Australia",-27.491619,153.100585,1000,hematology || oncology || pediatrics || psychiatry || urology,public,True
Nellore City Infirmary #8,specialty hospital,India,Nellore,"284 Hospital Rd, Nellore, India",14.402885,79.98606,100,dental || emergency || gynecology || oncology || orthopedics || physiotherapy || pulmonology,public,False
Bengaluru General Hospital,specialty hospital,India,Bengaluru,"130 College Rd, Bengaluru, India",12.937174,77.520502,200,cardiology || oncology || ophthalmology,private,True
Melbourne Medical Center,general hospital,Australia,Melbourne,"76 Maple Ave, Melbourne, Australia",-37.813171,144.891337,100,emergency || hematology || neurosurgery || oncology,public,False
Bareilly Superspeciality Hospital,general hospital,India,Bareilly,"931 Main Bazaar Rd, Bareilly, India",28.432323,79.38873,50,dermatology || ent || nephrology || oncology || physiotherapy,trust,True
Paris Care Hospital,general hospital,France,Paris,"178 Green Park Rd, Paris, France",48.854912,2.429904,75,cardiology || nephrology || pulmonology,private,False
Bhopal Care Hospital,specialty hospital,India,Bhopal,"465 MG Road, Bhopal, India",23.287442,77.454459,75,dental || dermatology || gynecology || nephrology || neurosurgery || orthopedics || pediatrics || radiology,public,True
Hyderabad City Infirmary,specialty hospital,India,Hyderabad,"845 High St, Hyderabad, India",17.421515,78.465545,250,gastroenterology || gynecology || hematology || oncology || pediatrics || psychiatry,private,True
Cuttack Medical College & Hospital,specialty hospital,India,Cuttack,"27 MG Road, Cuttack, India",20.483865,85.888524,50,cardiology || dermatology || pediatrics || physiotherapy,private,True
Ranchi Care Hospital #9,specialty hospital,India,Ranchi,"651 College Rd, Ranchi, India",23.397748,85.280925,75,nephrology || ophthalmology || urology,public,False
Abu Dhabi Multispeciality Hospital,teaching hospital,UAE,Abu Dhabi,"834 Green Park Rd, Abu Dhabi, UAE",24.380424,54.391843,250,emergency || psychiatry || radiology,public,True
Shanghai Multispeciality Hospital,general hospital,China,Shanghai,"371 College Rd, Shanghai, China",31.153054,121.475635,75,dermatology || emergency || hematology || neurosurgery || ophthalmology || orthopedics || pediatrics || psychiatry,trust,True
Aurangabad Superspeciality Hospital,general hospital,India,Aurangabad,"15 Green Park Rd, Aurangabad, India",19.899428,75.291199,300,dermatology || emergency || gynecology || neurosurgery || psychiatry || radiology,private,True
Cape Town Medical College & Hospital,teaching hospital,South Africa,Cape Town,"250 Main Bazaar Rd, Cape Town, South Africa",-33.943022,18.493977,50,dermatology || gastroenterology || hematology || nephrology || ophthalmology || orthopedics || physiotherapy,private,False
Bareilly Care Hospital,general hospital,India,Bareilly,"306 College Rd, Bareilly, India",28.341571,79.368556,750,dental || ophthalmology || psychiatry || urology,public,False
Bilaspur Health Institute,teaching hospital,India,Bilaspur,"245 Sector 21 Rd, Bilaspur, India",22.139974,82.100371,250,dermatology || nephrology || ophthalmology || radiology,private,False
Tiruchirappalli City Infirmary,general hospital,India,Tiruchirappalli,"515 Park Ave, Tiruchirappalli, India",10.841256,78.713532,200,ent || gynecology || psychiatry,trust,True
Bhubaneswar City Infirmary #10,specialty hospital,India,Bhubaneswar,"272 Park Ave, Bhubaneswar, India",20.254796,85.759396,500,emergency || ent || gastroenterology || physiotherapy || pulmonology || radiology || urology,trust,True
Nashik Medical Center,specialty hospital,India,Nashik,"295 Church St, Nashik, India",20.061567,73.811096,100,emergency || ent || gynecology || hematology || nephrology || neurosurgery || physiotherapy || urology,trust,True
Melbourne Health Institute,general hospital,Australia,Melbourne,"422 Lakeview Ave, Melbourne, Australia",-37.837726,144.999253,500,emergency || gastroenterology || neurosurgery || pulmonology,private,True
Aurangabad Care Hospital,specialty hospital,India,Aurangabad,"921 Main Bazaar Rd, Aurangabad, India",19.938134,75.38808,250,dental || emergency || physiotherapy || psychiatry || pulmonology,trust,True
Milan Multispeciality Hospital,general hospital,Italy,Milan,"394 College Rd, Milan, Italy",45.397662,9.135861,500,gastroenterology || neurosurgery || urology,private,False
Prayagraj Medical College & Hospital,specialty hospital,India,Prayagraj,"703 Maple Ave, Prayagraj, India",25.452829,81.767772,50,gynecology || neurosurgery || oncology || ophthalmology || psychiatry || radiology || urology,private,False
Paris Medical Center,specialty hospital,France,Paris,"317 Main Bazaar Rd, Paris, France",48.88276,2.27301,75,hematology || physiotherapy || urology,public,True
Toronto City Infirmary,teaching hospital,Canada,Toronto,"375 Hospital Rd, Toronto, Canada",43.660997,-79.352497,250,gastroenterology || hematology || ophthalmology || pediatrics || physiotherapy || pulmonology || urology,trust,False
Chennai City Infirmary,general hospital,India,Chennai,"693 Sector 21 Rd, Chennai, India",13.038583,80.304649,75,cardiology || dermatology || emergency || gastroenterology || hematology || pediatrics || urology,private,False
Rio de Janeiro Health Institute #11,general hospital,Brazil,Rio de Janeiro,"26 Green Park Rd, Rio de Janeiro, Brazil",-22.934736,-43.133461,250,emergency || neurosurgery || oncology || psychiatry || radiology,private,True
Melbourne Medical Center #12,teaching hospital,Australia,Melbourne,"139 Sector 21 Rd, Melbourne, Australia",-37.757724,144.988318,200,dental || hematology || nephrology || orthopedics || psychiatry || urology,private,False
Jabalpur Care Hospital #13,general hospital,India,Jabalpur,"455 Main Bazaar Rd, Jabalpur, India",23.116488,79.965235,75,ent || gynecology || physiotherapy || urology,public,True
Beijing Medical Center,specialty hospital,China,Beijing,"612 Oak St, Beijing, China",39.863238,116.483082,150,hematology || neurosurgery || radiology,private,True
Johannesburg Superspeciality Hospital,general hospital,South Africa,Johannesburg,"793 Ring Rd, Johannesburg, South Africa",-26.141373,28.068282,400,cardiology || dental || ent || gastroenterology || hematology || ophthalmology || pediatrics,public,True
Delhi Health Institute,general hospital,India,Delhi,"332 Oak St, Delhi, India",28.614322,77.221305,150,dermatology || hematology || nephrology || pediatrics,private,False
Aligarh Health Institute,general hospital,India,Aligarh,"516 Church St, Aligarh, India",27.848639,78.123592,100,cardiology || dermatology || ent || nephrology || oncology || psychiatry || radiology,trust,False
Pune Multispeciality Hospital,general hospital,India,Pune,"921 MG Road, Pune, India",18.444291,73.879976,75,emergency || hematology || oncology || pediatrics || physiotherapy,private,False
Rajkot Care Hospital,specialty hospital,India,Rajkot,"102 Station Rd, Rajkot, India",22.374373,70.874829,750,dental || gynecology || nephrology || ophthalmology || orthopedics || physiotherapy || psychiatry || pulmonology,private,True
Abu Dhabi Health Institute,general hospital,UAE,Abu Dhabi,"157 College Rd, Abu Dhabi, UAE",24.433125,54.299773,750,dental || emergency || physiotherapy,private,True
Jaipur General Hospital,specialty hospital,India,Jaipur,"338 Station Rd, Jaipur, India",26.900909,75.861965,1000,dermatology || hematology || nephrology || oncology || ophthalmology || urology,public,True
Tiruchirappalli Multispeciality Hospital,general hospital,India,Tiruchirappalli,"866 Green Park Rd, Tiruchirappalli, India",10.846982,78.671812,100,gynecology || nephrology || neurosurgery || ophthalmology || pediatrics,private,False
Salem General Hospital,specialty hospital,India,Salem,"711 Temple Rd, Salem, India",11.720482,78.116708,75,oncology || pediatrics || pulmonology,trust,True
Lucknow Medical College & Hospital #14,specialty hospital,India,Lucknow,"996 Oak St, Lucknow, India",26.855788,81.015985,300,ent || gastroenterology || orthopedics,private,True
Guntur Health Institute,specialty hospital,India,Guntur,"87 Maple Ave, Guntur, India",16.31791,80.372048,250,dermatology || emergency || pediatrics || pulmonology,private,True
Mangaluru Care Hospital,general hospital,India,Mangaluru,"354 NH 48, Mangaluru, India",12.992509,74.798413,200,ent || oncology || ophthalmology,private,True
Rajkot General Hospital #15,general hospital,India,Rajkot,"217 Ring Rd, Rajkot, India",22.36428,70.840723,300,cardiology || gynecology || neurosurgery || oncology || radiology,private,True
Vijayawada Superspeciality Hospital,specialty hospital,India,Vijayawada,"826 Hill Rd, Vijayawada, India",16.538597,80.625519,100,dermatology || gastroenterology || nephrology,public,False
Rio de Janeiro Medical College & Hospital,general hospital,Brazil,Rio de Janeiro,"118 Sector 21 Rd, Rio de Janeiro, Brazil",-22.857302,-43.123282,500,psychiatry || pulmonology || radiology,private,False
Panipat Medical Center,specialty hospital,India,Panipat,"537 MG Road, Panipat, India",29.457018,76.965315,150,dental || emergency || gastroenterology || neurosurgery || oncology || radiology,public,False
Nagpur Health Institute,teaching hospital,India,Nagpur,"661 Ring Rd, Nagpur, India",21.193527,79.112194,300,gynecology || hematology || orthopedics || pediatrics,public,True
London Multispeciality Hospital,specialty hospital,United Kingdom,London,"594 Main Bazaar Rd, London, United Kingdom",51.554727,-0.065399,100,dental || dermatology || gastroenterology || hematology || neurosurgery || physiotherapy || psychiatry || radiology,private,False
Kochi Medical Center,general hospital,India,Kochi,"59 Hill Rd, Kochi, India",9.911293,76.202337,200,emergency || ent || gastroenterology || neurosurgery || physiotherapy,private,False
Houston Superspeciality Hospital,general hospital,United States,Houston,"155 Maple Ave, Houston, United States",29.686151,-95.375304,200,cardiology || emergency || gynecology || physiotherapy || pulmonology || radiology,private,False
Nashik City Infirmary,teaching hospital,India,Nashik,"397 NH 48, Nashik, India",19.963347,73.804333,25,dental || dermatology || emergency || physiotherapy || radiology,private,False
Panipat City Infirmary,specialty hospital,India,Panipat,"145 Hill Rd, Panipat, India",29.316876,77.015116,100,emergency || gastroenterology || hematology || oncology || pediatrics,public,False
Paris Medical College & Hospital,general hospital,France,Paris,"317 Lakeview Ave, Paris, France",48.79693,2.355759,300,neurosurgery || ophthalmology || orthopedics || radiology,trust,True
Bareilly Medical Center,general hospital,India,Bareilly,"757 Hospital Rd, Bareilly, India",28.321531,79.450062,50,gastroenterology || hematology || radiology,public,True
Sao Paulo Multispeciality Hospital #16,general hospital,Brazil,Sao Paulo,"737 Church St, Sao Paulo, Brazil",-23.627531,-46.634583,200,ent || gastroenterology || hematology || neurosurgery || oncology || psychiatry,private,False
Salem Multispeciality Hospital,general hospital,India,Salem,"392 Hospital Rd, Salem, India",11.686289,78.182175,1000,cardiology || hematology || nephrology || ophthalmology || orthopedics || physiotherapy || pulmonology,private,False
Pune Medical Center,specialty hospital,India,Pune,"280 Main Bazaar Rd, Pune, India",18.523008,73.828373,400,dental || emergency || hematology || nephrology || neurosurgery || ophthalmology || pulmonology,trust,True
Thiruvananthapuram Superspeciality Hospital,general hospital,India,Thiruvananthapuram,"230 Oak St, Thiruvananthapuram, India",8.487433,76.926835,50,cardiology || ent || gynecology || hematology || radiology,public,False
Montreal Multispeciality Hospital,general hospital,Canada,Montreal,"82 Oak St, Montreal, Canada",45.425956,-73.493376,400,dermatology || ent || hematology || nephrology || orthopedics,private,True
Visakhapatnam Medical College & Hospital,specialty hospital,India,Visakhapatnam,"65 Station Rd, Visakhapatnam, India",17.718156,83.203932,75,cardiology || dental || emergency || ent || neurosurgery || urology,public,True
Udaipur Medical College & Hospital #17,specialty hospital,India,Udaipur,"537 Hill Rd, Udaipur, India",24.53043,73.672539,200,dental || ent || physiotherapy,private,True
Bhubaneswar Multispeciality Hospital #18,general hospital,India,Bhubaneswar,"383 Temple Rd, Bhubaneswar, India",20.330435,85.850132,100,cardiology || dental || emergency || gastroenterology || gynecology || ophthalmology || radiology || urology,public,False
Toronto Health Institute,specialty hospital,Canada,Toronto,"180 Main Bazaar Rd, Toronto, Canada",43.725978,-79.345136,200,cardiology || emergency || gastroenterology || hematology || neurosurgery || ophthalmology || pulmonology || urology,public,True
Bengaluru Health Institute,general hospital,India,Bengaluru,"835 Green Park Rd, Bengaluru, India",12.989475,77.581736,75,dermatology || nephrology || oncology || orthopedics || pediatrics || pulmonology,private,False
Ahmedabad Health Institute,general hospital,India,Ahmedabad,"451 Sector 21 Rd, Ahmedabad, India",22.999456,72.612655,25,dental || ophthalmology || psychiatry || pulmonology || urology,private,False
Varanasi Medical Center,teaching hospital,India,Varanasi,"185 Green Park Rd, Varanasi, India",25.256172,82.90126,25,emergency || gynecology || ophthalmology || physiotherapy || radiology,public,False
Montreal Multispeciality Hospital,general hospital,Canada,Montreal,"891 Hill Rd, Montreal, Canada",45.558774,-73.534815,150,dermatology || emergency || nephrology || orthopedics || pediatrics || psychiatry || radiology,public,False
Los Angeles Multispeciality Hospital #19,general hospital,United States,Los Angeles,"798 Hill Rd, Los Angeles, United States",33.987853,-118.245041,150,dermatology || gastroenterology || hematology || psychiatry || pulmonology,public,False
Amritsar Health Institute,specialty hospital,India,Amritsar,"256 Station Rd, Amritsar, India",31.581712,74.861716,150,ent || ophthalmology || pulmonology,public,False
Patna Multispeciality Hospital,specialty hospital,India,Patna,"711 College Rd, Patna, India",25.612636,85.159215,25,emergency || gynecology || hematology || psychiatry,public,False
Barcelona Health Institute,general hospital,Spain,Barcelona,"298 High St, Barcelona, Spain",41.367338,2.188738,150,ent || neurosurgery || pulmonology || urology,public,True
Bareilly Multispeciality Hospital #20,specialty hospital,India,Bareilly,"378 Main Bazaar Rd, Bareilly, India",28.424038,79.455791,75,dental || emergency || hematology || nephrology || oncology || orthopedics || urology,private,True
Udaipur Medical Center #21,general hospital,India,Udaipur,"76 Main Bazaar Rd, Udaipur, India",24.516691,73.735287,25,emergency || ent || gastroenterology || hematology || pulmonology || urology,private,False
Ahmedabad City Infirmary,general hospital,India,Ahmedabad,"958 Church St, Ahmedabad, India",23.036224,72.641837,200,emergency || ent || gynecology || oncology || pediatrics,private,True
Noida Medical Center,general hospital,India,Noida,"965 Ring Rd, Noida, India",28.517607,77.413926,150,cardiology || dermatology || emergency || radiology,public,False
Madurai Superspeciality Hospital,general hospital,India,Madurai,"655 Oak St, Madurai, India",9.932499,78.190434,100,dental || gastroenterology || gynecology || oncology || ophthalmology || physiotherapy,private,True
Warangal General Hospital #22,general hospital,India,Warangal,"476 Sunrise Blvd, Warangal, India",18.04269,79.658956,75,dental || hematology || orthopedics || radiology || urology,public,True
Agra Superspeciality Hospital,general hospital,India,Agra,"254 Ring Rd, Agra, India",27.107798,77.944224,25,dermatology || gastroenterology || oncology,trust,False
Tehran Health Institute,specialty hospital,Iran,Tehran,"195 Lakeview Ave, Tehran, Iran",35.624311,51.418281,50,cardiology || ent || neurosurgery || oncology || ophthalmology || psychiatry,public,False
Visakhapatnam Superspeciality Hospital,general hospital,India,Visakhapatnam,"289 College Rd, Visakhapatnam, India",17.657836,83.27368,25,cardiology || emergency || gynecology || hematology || oncology || ophthalmology || orthopedics,private,False
Mysuru General Hospital,general hospital,India,Mysuru,"567 High St, Mysuru, India",12.346115,76.604497,50,ent || gastroenterology || psychiatry,private,False
Paris City Infirmary,general hospital,France,Paris,"814 Park Ave, Paris, France",48.888078,2.372831,500,cardiology || gastroenterology || hematology || nephrology || orthopedics || pediatrics || urology,public,True
Cape Town City Infirmary,general hospital,South Africa,Cape Town,"336 Park Ave, Cape Town, South Africa",-33.887289,18.472657,100,gastroenterology || oncology || ophthalmology || radiology,private,True
Abu Dhabi Medical Center,specialty hospital,UAE,Abu Dhabi,"816 Oak St, Abu Dhabi, UAE",24.40229,54.417398,400,dermatology || emergency || ent || neurosurgery || oncology || ophthalmology || pediatrics,private,True
Singapore Superspeciality Hospital #23,teaching hospital,Singapore,Singapore,"113 Sunrise Blvd, Singapore, Singapore",1.430581,103.805819,100,nephrology || psychiatry || radiology,public,False
Aligarh Multispeciality Hospital,specialty hospital,India,Aligarh,"64 Ring Rd, Aligarh, India",27.941626,78.062529,750,dental || ophthalmology || orthopedics || pediatrics || physiotherapy || pulmonology || radiology,trust,True
Ludhiana Health Institute,teaching hospital,India,Ludhiana,"698 Temple Rd, Ludhiana, India",30.958311,75.845916,300,gynecology || hematology || neurosurgery || ophthalmology || orthopedics || pediatrics || physiotherapy,trust,False
Rome Multispeciality Hospital,general hospital,Italy,Rome,"957 Temple Rd, Rome, Italy",41.943527,12.4329,750,dental || ent || gastroenterology || gynecology || nephrology,public,False
Bengaluru Care Hospital,general hospital,India,Bengaluru,"947 Main Bazaar Rd, Bengaluru, India",12.97244,77.646833,100,ent || hematology || nephrology || ophthalmology || orthopedics || pediatrics || physiotherapy || psychiatry,private,True
Jodhpur Superspeciality Hospital,specialty hospital,India,Jodhpur,"544 Church St, Jodhpur, India",26.302184,73.006572,25,dental || dermatology || gynecology || nephrology || neurosurgery || physiotherapy || pulmonology || urology,private,True
Tehran Medical College & Hospital,teaching hospital,Iran,Tehran,"488 College Rd, Tehran, Iran",35.754061,51.323606,100,cardiology || dental || dermatology || ent || gastroenterology || oncology || orthopedics || radiology,private,True
Shanghai City Infirmary,specialty hospital,China,Shanghai,"957 Maple Ave, Shanghai, China",31.30241,121.545797,200,cardiology || dermatology || hematology || oncology || ophthalmology || pulmonology,private,True
Melbourne Multispeciality Hospital,general hospital,Australia,Melbourne,"517 Main Bazaar Rd, Melbourne, Australia",-37.792506,144.954851,100,gynecology || orthopedics || pulmonology || radiology || urology,private,True
Nellore Health Institute,specialty hospital,India,Nellore,"776 Sunrise Blvd, Nellore, India",14.415186,80.014103,300,ent || gastroenterology || nephrology || radiology,public,True
Jaipur Multispeciality Hospital,general hospital,India,Jaipur,"268 Sector 21 Rd, Jaipur, India",26.959053,75.833639,50,oncology || pediatrics || psychiatry || radiology,private,False
Thiruvananthapuram Superspeciality Hospital #24,general hospital,India,Thiruvananthapuram,"315 Lakeview Ave, Thiruvananthapuram, India",8.523207,76.865809,200,dental || ent || gynecology || oncology || ophthalmology || pulmonology,public,False
Guwahati Health Institute,general hospital,India,Guwahati,"483 Green Park Rd, Guwahati, India",26.135145,91.798233,100,dermatology || emergency || neurosurgery || orthopedics || pediatrics || psychiatry || pulmonology || urology,trust,True
Shiraz Superspeciality Hospital,general hospital,Iran,Shiraz,"336 Hospital Rd, Shiraz, Iran",29.530531,52.526579,300,emergency || gynecology || ophthalmology || orthopedics || pediatrics || psychiatry,private,True
Mangaluru Multispeciality Hospital,specialty hospital,India,Mangaluru,"689 High St, Mangaluru, India",12.933015,74.79218,50,cardiology || dermatology || gastroenterology || gynecology || oncology || pediatrics || physiotherapy || urology,public,False
Hyderabad Medical Center,general hospital,India,Hyderabad,"294 NH 48, Hyderabad, India",17.417155,78.418342,400,gastroenterology || hematology || nephrology || urology,private,False
Kolkata City Infirmary,general hospital,India,Kolkata,"183 Green Park Rd, Kolkata, India",22.605599,88.296916,50,cardiology || ent || gastroenterology || hematology || neurosurgery || ophthalmology,trust,False
Singapore Superspeciality Hospital,general hospital,Singapore,Singapore,"283 Sunrise Blvd, Singapore, Singapore",1.429962,103.799683,100,cardiology || dental || dermatology || gastroenterology || gynecology || nephrology || physiotherapy || psychiatry,private,True
Shanghai Superspeciality Hospital,general hospital,China,Shanghai,"240 Green Park Rd, Shanghai, China",31.280448,121.54526,1200,dermatology || ent || hematology || oncology,public,False
Udaipur Health Institute,teaching hospital,India,Udaipur,"677 Hospital Rd, Udaipur, India",24.625941,73.692702,50,dermatology || nephrology || oncology || pediatrics,private,False
Montreal Medical College & Hospital,general hospital,Canada,Montreal,"353 Sector 21 Rd, Montreal, Canada",45.546244,-73.558055,150,dental || emergency || hematology || nephrology || ophthalmology || orthopedics || radiology,private,True
Brisbane City Infirmary,teaching hospital,Australia,Brisbane,"576 NH 48, Brisbane, Australia",-27.404783,152.962892,150,dental || ent || gastroenterology || gynecology || hematology || physiotherapy,public,False
Beijing Medical Center,specialty hospital,China,Beijing,"53 Temple Rd, Beijing, China",39.826017,116.402386,50,dermatology || emergency || ent || gynecology || neurosurgery || orthopedics,trust,False
Los Angeles Superspeciality Hospital,general hospital,United States,Los Angeles,"773 College Rd, Los Angeles, United States",33.991211,-118.304896,250,gastroenterology || neurosurgery || orthopedics || radiology,private,True
