SEARCH KEYWORD,MODIFIED KEYWORD,QCR KEYWORD,ATTRIBUTE EXTRACTION FLAG,SOLR EXECUTION,SOLR STATUS,ALFA EXECUTION,ALFA STATUS,MARS EXECUTION,MARS STATUS,MERI EXECUTION,MERI STATUS,CHATGPT EXECUTION,CHATGPT STATUS,ENSEMBLE RUN,SOLR_INFO,ALFA_INFO,MARS_INFO,MERI_INFO,CHATGPT_INFO,ID 1,NAME 1,MCAT_ACCURACY_LEVEL 1,ID 2,NAME 2,MCAT_ACCURACY_LEVEL 2,ID 3,NAME 3,MCAT_ACCURACY_LEVEL 3,ID 4,NAME 4,MCAT_ACCURACY_LEVEL 4,ID 5,NAME 5,MCAT_ACCURACY_LEVEL 5
Flow Totalizers,flow totalizers,Flow Totalizers,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 28624   |   Flow Totalizers   |   High || 28617   |   Flow Indicators   |   Medium ],alfa-info: [ 28624   |   flow totalizers   |   High ],mars-info: [ 28624   |   Flow Totalizers   |   High ],[],[],28624,Flow Totalizers,High,28617,Flow Indicators,Medium,14083,Electromagnetic Flow Meter,Low,78043,Counter Meter,Low,255,Digital Flow Meter,Low
Face Mask,face mask,Face Mask,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 6220   |   Face Mask   |   High || 204385   |   3M Safety Mask   |   Medium || 216615   |   3 Ply Face Mask   |   Medium || 26683   |   Disposable Face Mask   |   Medium || 165927   |   Cotton Face Mask   |   Medium || 444613   |   Reusable Face Mask   |   Medium || 216616   |   Non Woven Face Mask   |   Medium || 352506   |   2 Ply Face Mask   |   Medium || 444764   |   Printed Face Mask   |   Medium || 444680   |   Kids Face Mask   |   Medium || 443987   |   Plasti Surge N-95 Face Mask   |   Medium || 444608   |   Wildcraft Face Mask   |   Medium || 68669   |   4 Ply Carbon Face Mask   |   Medium || 74005   |   1 Ply Paper Face Mask   |   Medium || 443985   |   Plasti Surge 2 Ply Face Mask   |   Medium || 445519   |   KF94 Face Mask   |   Medium || 444583   |   Homemade Face Mask   |   Medium || 444828   |   Swiss Military Face Mask   |   Medium || 655190   |   Karam Face Mask   |   Medium || 443986   |   Plasti Surge 3 Ply Face Mask   |   Medium || 444360   |   Ansell Face Mask   |   Medium || 444719   |   Safari Face Mask   |   Medium || 186459   |   N95 Mask   |   Medium || 184149   |   Venus N95 Mask   |   Medium || 156711   |   Anti Pollution Mask   |   Medium || 444158   |   Mask Elastic Bands   |   Medium || 443995   |   N99 Mask   |   Medium || 168689   |   Visor Mask   |   Medium || 6751   |   N90 Mask   |   Medium || 444698   |   Khadi Mask   |   Medium || 142149   |   Beard Mask   |   Medium || 217017   |   Honeywell N95 Masks   |   Medium || 445148   |   Bandana Mask   |   Medium || 444762   |   Mask Ear Protector   |   Medium || 444775   |   Peter England Mask   |   Medium || 444451   |   Thea-Tex Surgical Mask   |   Medium || 157139   |   Vision Full Face Mask   |   Medium || 188613   |   Bike Face Mask   |   Medium || 101760   |   Collagen Facial Mask   |   Medium || 81069   |   Rubber Party Mask   |   Medium ],alfa-info: [ 6220   |   face mask   |   High ],mars-info: [ 6220   |   Face Mask   |   High ],[],[],6220,Face Mask,High,204385,3M Safety Mask,High,216615,3 Ply Face Mask,Medium,186459,N95 Mask,Medium,6751,N90 Mask,Medium
red onion,red onion,red onion,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 36251   |   Red Onion   |   High || 222130   |   Organic Red Onion   |   Medium || 113695   |   Onion   |   Medium || 962   |   Fresh Vegetables   |   Medium || 26446   |   Dehydrated Onion   |   Medium || 69834   |   Fried Onions   |   Medium ],alfa-info: [ 36251   |   red onion   |   High ],mars-info: [ 36251   |   Red Onion   |   High ],[],[],36251,Red Onion,High,222130,Organic Red Onion,High,113695,Onion,Medium,962,Fresh Vegetables,Medium,69834,Fried Onions,Medium
Cardinal Tetra Fish,cardinal tetra fish,Cardinal Tetra Fish,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 221838   |   Cardinal Tetra Fish   |   High || 192330   |   Neon Tetra Fish   |   High || 42545   |   Aquarium Fish   |   Medium ],alfa-info: [ 221838   |   cardinal tetra fish   |   High ],mars-info: [ 221838   |   Cardinal Tetra Fish   |   High ],[],[],221838,Cardinal Tetra Fish,High,192330,Neon Tetra Fish,Medium,42545,Aquarium Fish,Medium,190596,Betta Fish,Low,182640,Guppy Fish,Low
Aqua Feed Supplement,aqua feed supplement,Aqua Feed Supplement,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 177554   |   Aqua Feed Supplement   |   High || 156180   |   Aqua Probiotics   |   Medium ],alfa-info: [ 177554   |   aqua feed supplement   |   High ],mars-info: [ 177554   |   Aqua Feed Supplement   |   High ],[],[],177554,Aqua Feed Supplement,High,156180,Aqua Probiotics,Medium,27331,Feed Supplement,Low,55643,Fish Feed,Low,7240,Poultry Feed Supplements,Low
Speaker Driver,speaker driver,Speaker Driver,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 37456   |   Speaker Driver   |   High || 78079   |   Speaker Components   |   Medium ],alfa-info: [ 37456   |   speaker driver   |   High ],mars-info: [ 37456   |   Speaker Driver   |   High ],[],[],37456,Speaker Driver,High,78079,Speaker Components,Medium,126301,Pro Audio Speaker,Low,190770,DJ Speaker,Low,18779,Subwoofer Speaker,Low
Edge Banding Tape,edge banding tape,Edge Banding Tape,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 126264   |   Edge Banding Tape   |   High || 122531   |   PVC Edge Band   |   Medium || 34918   |   PVC Tape   |   Medium || 654453   |   Veneer Tape   |   Medium ],alfa-info: [ 126264   |   edge banding tape   |   High ],mars-info: [ 126264   |   Edge Banding Tape   |   High ],[],[],126264,Edge Banding Tape,High,122531,PVC Edge Band,Medium,34918,PVC Tape,Medium,654453,Veneer Tape,Medium,11705,Double Sided Tape,Low
Packaged Drinking Water,packaged drinking water,Packaged Drinking Water,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 136575   |   Packaged Drinking Water   |   High || 139360   |   Bottled Water   |   High || 206746   |   Aqua Sure Packaged Drinking Water   |   Medium || 206800   |   Evian Packaged Drinking Water   |   Medium || 6725   |   Drinking Water   |   Medium || 5145   |   Mineral Water Bottle   |   Medium || 56043   |   Clear Packaged Drinking Water   |   Medium || 206744   |   Aqua Blue Packaged Drinking Water   |   Medium || 210421   |   Frappe Packaged Drinking Water   |   Medium || 185887   |   Bailley Mineral Water   |   Medium || 186509   |   Himalayan Mineral Water   |   Medium || 184983   |   Kingfisher Mineral Water   |   Medium ],alfa-info: [ 136575   |   packaged drinking water   |   High ],mars-info: [ 136575   |   Packaged Drinking Water   |   High ],[],[],136575,Packaged Drinking Water,High,139360,Bottled Water,High,206746,Aqua Sure Packaged Drinking Water,Medium,206800,Evian Packaged Drinking Water,Medium,185887,Bailley Mineral Water,Medium
V-Belt Pulleys,v belt pulleys,V-Belt Pulleys,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 1081   |   V-Belt Pulleys   |   High || 218573   |   CI V Belt Pulley   |   Medium || 184507   |   V Groove Pulley   |   Medium || 163470   |   Step Pulley   |   Medium ],alfa-info: [ 1081   |   v-belt pulleys   |   High ],mars-info: [ 1081   |   V-Belt Pulleys   |   High ],[],[],1081,V-Belt Pulleys,High,218573,CI V Belt Pulley,High,184507,V Groove Pulley,Medium,163470,Step Pulley,Medium,127457,Cast Iron Pulley,Low
Cylinder Kit,cylinder kit,Cylinder Kit,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 90314   |   Cylinder Kit   |   High || 12954   |   Clutch Master And Slave Cylinder   |   Medium || 155493   |   Hydraulic Cylinder Seal Kits   |   Medium || 25278   |   Cylinder Seal Kits   |   Medium || 186743   |   Portable Oxygen Cylinder Kit   |   Medium || 89838   |   Pneumatic Cylinder Kit   |   Medium ],alfa-info: [ 90314   |   cylinder kit   |   High ],mars-info: [ 90314   |   Cylinder Kit   |   High ],[],[],90314,Cylinder Kit,High,12954,Clutch Master And Slave Cylinder,Medium,155493,Hydraulic Cylinder Seal Kits,Medium,89838,Pneumatic Cylinder Kit,Medium,25278,Cylinder Seal Kits,Medium
Flip Flop Slipper,flip flop slipper,Flip Flop Slipper,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 77714   |   Flip Flop Slipper   |   High || 31978   |   Men Slippers   |   Medium || 77711   |   Flat Slipper   |   Medium || 219016   |   Ladies Flat Slipper   |   Medium ],alfa-info: [ 77714   |   flip flop slipper   |   High ],mars-info: [ 77714   |   Flip Flop Slipper   |   High ],[],[],77714,Flip Flop Slipper,High,31978,Men Slippers,Medium,77711,Flat Slipper,Medium,219016,Ladies Flat Slipper,Medium,77705,Fancy Slipper,Low
mini fridge,mini fridge,mini fridge,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 32785   |   Mini Fridge   |   High || 89573   |   Under Counter Refrigerator   |   High || 650998   |   Countertop Mini Fridge   |   High || 221357   |   Haier Mini Fridge   |   Medium || 653281   |   Elanpro Mini Fridge   |   Medium || 221359   |   LG Mini Fridge   |   Medium || 652149   |   Portable Mini Fridge   |   Medium || 221358   |   Mitashi Mini Fridge   |   Medium ],alfa-info: [ 32785   |   mini fridge   |   High ],mars-info: [ 32785   |   Mini Fridge   |   High ],[],[],32785,Mini Fridge,High,89573,Under Counter Refrigerator,Medium,650998,Countertop Mini Fridge,Medium,652149,Portable Mini Fridge,Medium,221358,Mitashi Mini Fridge,Medium
Industrial Cylinders,industrial cylinders,Industrial Cylinders,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 56251   |   Industrial Cylinders   |   High || 1859   |   Hydraulic Cylinders   |   Medium ],alfa-info: [ 56251   |   industrial cylinders   |   High ],mars-info: [ 56251   |   Industrial Cylinders   |   High ],[],[],56251,Industrial Cylinders,High,1859,Hydraulic Cylinders,Medium,177,LPG Cylinders,Low,87759,Liquid Nitrogen Container,Low,194457,Indane Gas Cylinders,Low
Kesar Tea,saffron tea,saffron tea,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 187814   |   Kesar Tea   |   High || 6423   |   Flavored Tea   |   Medium || 43204   |   Tea Premix   |   Medium ],alfa-info: [ 187814   |   kesar tea   |   High ],mars-info: [ 187814   |   Kesar Tea   |   High || 188549   |   Rose Tea   |   Low || 6423   |   Flavored Tea   |   Low ],[],[],187814,Kesar Tea,High,6423,Flavored Tea,Medium,188549,Rose Tea,Medium,43204,Tea Premix,Medium,143826,CTC Tea,Low
Courier Service,courier service,Courier Service,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 84153   |   Courier Service   |   High || 42509   |   International Courier Services   |   Medium || 108469   |   Domestic Courier Service   |   Medium || 42705   |   Door To Door Delivery   |   Medium || 32057   |   Local Courier Services   |   Medium || 173525   |   Cargo Courier Services   |   Medium || 171255   |   Air Courier Services   |   Medium || 231801   |   Bulk Courier Service   |   Medium || 175819   |   Overnight Delivery Courier Services   |   Medium || 656692   |   DTDC Courier Services   |   Medium || 656693   |   Delhivery Courier Services   |   Medium || 656698   |   DTDC Domestic Courier Services   |   Medium || 168471   |   Pet Transportation Services   |   Medium || 656700   |   DHL Courier   |   Medium || 656705   |   FedEx Courier   |   Medium || 656704   |   Skyking Courier   |   Medium || 656709   |   TCI Express Courier   |   Medium ],alfa-info: [ 84153   |   courier service   |   High ],mars-info: [ 84153   |   Courier Service   |   High ],[],[],84153,Courier Service,High,42509,International Courier Services,Medium,108469,Domestic Courier Service,Medium,656709,TCI Express Courier,Medium,656700,DHL Courier,Medium
river sand,river sand,river sand,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 42923   |   River Sand   |   High || 184663   |   Construction Sand   |   Medium ],alfa-info: [ 42923   |   river sand   |   High ],mars-info: [ 42923   |   River Sand   |   High ],[],[],42923,River Sand,High,184663,Construction Sand,Medium,43635,Crushed Stone,Low,122677,Sand,Low,9338,Silica Sand,Low
Car Parts,car parts,Car Parts,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 5523   |   Car Parts   |   High || 376950   |   Mercedes Parts   |   Medium || 68718   |   Brass Auto Parts   |   Medium || 98773   |   Car Air Conditioning Parts   |   Medium ],alfa-info: [ 5523   |   car parts   |   High ],mars-info: [ 5523   |   Car Parts   |   High ],[],[],5523,Car Parts,High,376950,Mercedes Parts,High,68718,Brass Auto Parts,Medium,98773,Car Air Conditioning Parts,Medium,41240,Window Regulators,Low
Maize,maize,Maize,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 113722   |   Maize   |   High || 179416   |   Raw Maize   |   Medium || 122839   |   White Maize   |   Medium || 41550   |   Yellow Corn   |   Medium || 152862   |   Hybrid Maize Seeds   |   Medium || 179603   |   Maize Seeds   |   Medium ],alfa-info: [ 113722   |   maize   |   High ],mars-info: [ 113722   |   Maize   |   High ],[],[],113722,Maize,High,179416,Raw Maize,Medium,122839,White Maize,Medium,41550,Yellow Corn,Medium,152862,Hybrid Maize Seeds,Medium
Cadbury Dairy Milk Chocolate,cadbury dairy milk chocolate,Cadbury Dairy Milk Chocolate,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 184160   |   Cadbury Dairy Milk Chocolate   |   High || 186356   |   Cadbury Chocolate   |   High || 44138   |   Milk Chocolate   |   Medium || 105844   |   Chocolate   |   Medium ],alfa-info: [ 184160   |   cadbury dairy milk chocolate   |   High ],mars-info: [ 184160   |   Cadbury Dairy Milk Chocolate   |   High ],[],[],184160,Cadbury Dairy Milk Chocolate,High,186356,Cadbury Chocolate,High,44138,Milk Chocolate,Medium,105844,Chocolate,Medium,114149,Milk,Low
PVC Wall Panel,pvc wall panel,PVC Wall Panel,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 88026   |   PVC Wall Panel   |   High || 88019   |   Decorative Wall Panel   |   Medium || 3324   |   Wall Panels   |   Medium || 146392   |   PVC Wall Paneling   |   Medium ],alfa-info: [ 88026   |   pvc wall panel   |   High ],mars-info: [ 88026   |   PVC Wall Panel   |   High ],[],[],88026,PVC Wall Panel,High,88019,Decorative Wall Panel,Medium,3324,Wall Panels,Medium,146392,PVC Wall Paneling,Medium,219343,WPC Wall Panel,Low
educational books,educational books,educational books,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 6797   |   Educational Books   |   High ],alfa-info: [ 6797   |   educational books   |   High ],mars-info: [ 6797   |   Educational Books   |   High ],[],[],6797,Educational Books,High,3791,Children Books,Low,133056,Competition Books,Low,50028,General Books,Low,9938,Medical books,Low
Car Paper Foot Mat,car paper foot mat,Car Paper Foot Mat,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 221392   |   Car Paper Foot Mat   |   High || 23372   |   Car Mat   |   Medium || 95980   |   Paper Mat   |   Medium ],alfa-info: [ 221392   |   car paper foot mat   |   High ],mars-info: [ 221392   |   Car Paper Foot Mat   |   High ],[],[],221392,Car Paper Foot Mat,High,23372,Car Mat,Medium,95980,Paper Mat,Medium,445014,7D Mats,Low,8863,PVC Car Mat,Low
Tractor,tractor,Tractor,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 74879   |   Tractor   |   High || 43829   |   Mini Tractors   |   High || 56014   |   Compact Tractor   |   Medium || 182280   |   Mahindra Tractor   |   Medium || 216577   |   Second Hand and Used Tractor   |   Medium || 186519   |   New Holland Tractor   |   Medium || 189360   |   Swaraj Tractor   |   Medium || 182279   |   Sonalika Tractor   |   Medium || 68945   |   Walking Tractor   |   Medium || 189363   |   John Deere Tractor   |   Medium || 193221   |   Massey Ferguson Tractor   |   Medium || 189368   |   Eicher Tractor   |   Medium || 190386   |   Escorts Powertrac Tractor   |   Medium || 192496   |   Escorts Farmtrac Tractor   |   Medium || 216480   |   Kubota Tractor   |   Medium || 215940   |   VST Mini Tractor   |   Medium || 215939   |   TAFE Tractor   |   Medium || 200002   |   Captain Tractor   |   Medium || 190265   |   Force Tractor   |   Medium || 190232   |   Mitsubishi Tractor   |   Medium || 215943   |   Indo Farm Tractor   |   Medium || 215937   |   Preet Tractor   |   Medium || 219330   |   Deutz Fahr Tractor   |   Medium || 443753   |   ACE Tractor   |   Medium || 189458   |   HMT Tractor   |   Medium || 185657   |   Tractor Front End Loader   |   Medium || 186832   |   Tractor Bearing   |   Medium || 139174   |   Tractor Crankshaft   |   Medium || 50490   |   Toy Tractor   |   Medium || 151315   |   Tractor Oil Filter   |   Medium ],alfa-info: [ 74879   |   tractor   |   High ],mars-info: [ 74879   |   Tractor   |   High ],[],[],74879,Tractor,High,43829,Mini Tractors,Medium,56014,Compact Tractor,Medium,216577,Second Hand and Used Tractor,Medium,215940,VST Mini Tractor,Medium
Number Plates,number plates,Number Plates,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 32885   |   Number Plates   |   High || 50728   |   Car Number Plate   |   High || 191755   |   Two Wheeler Number Plate   |   Medium || 215859   |   Acrylic Number Plate   |   Medium || 215860   |   LED Number Plate   |   Medium || 12534   |   High Security Registration Plates   |   Medium || 15589   |   House Name Plates   |   Medium ],alfa-info: [ 32885   |   number plates   |   High ],mars-info: [ 32885   |   Number Plates   |   High ],[],[],32885,Number Plates,High,50728,Car Number Plate,Medium,191755,Two Wheeler Number Plate,Medium,215860,LED Number Plate,Medium,15589,House Name Plates,Medium
Full Lace Wig,full lace wig,Full Lace Wig,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 104659   |   Full Lace Wig   |   High || 65408   |   Lace Wigs   |   Medium || 29957   |   Hair Wig   |   Medium || 42099   |   Human Hair Wigs   |   Medium ],alfa-info: [ 104659   |   full lace wig   |   High ],mars-info: [ 104659   |   Full Lace Wig   |   High ],[],[],104659,Full Lace Wig,High,65408,Lace Wigs,Medium,29957,Hair Wig,Medium,42099,Human Hair Wigs,Medium,10803,Human Hair Extension,Low
Ambrane Power Bank,ambrane power bank,Ambrane Power Bank,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 184575   |   Ambrane Power Bank   |   High || 35673   |   Power Bank   |   High || 35396   |   Portable Battery Charger   |   Medium ],alfa-info: [ 184575   |   ambrane power bank   |   High ],mars-info: [ 184575   |   Ambrane Power Bank   |   High ],[],[],184575,Ambrane Power Bank,High,35673,Power Bank,Medium,35396,Portable Battery Charger,Medium,5187,Mobile Phone Accessories,Low,163327,Solar Power Bank,Low
Biopesticides,biopesticides,Biopesticides,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 4414   |   Biopesticides   |   High || 2021   |   Organic Pesticides   |   Medium || 3179   |   Agricultural Pesticides   |   Medium || 240836   |   Dupont Ferterra Biopesticides   |   Medium ],alfa-info: [ 4414   |   biopesticides   |   High ],mars-info: [ 4414   |   Biopesticides   |   High ],[],[],4414,Biopesticides,High,2021,Organic Pesticides,Medium,3179,Agricultural Pesticides,Medium,240836,Dupont Ferterra Biopesticides,Medium,527,Bio Fertilizers,Low
